barcode,item_name,category_id,reorder_level,buying_price,marked_price,selling_price,tax_type_id,narrative
PROD_0086,WILLIAM LAWSONS 750ML,5,0,1075,1250,1250,1,WHISKEY
PROD_0087,BEST DRY GIN 750ML,7,0,530,900,900,1,GIN
PROD_0088,BEST  CREAM 750ML,8,0,820,950,950,1,CREAM
PROD_0089,CHROME GIN 750ML,7,0,485,630,630,1,GIN
PROD_0090,CHROME VODKA 750ML,2,0,485,630,630,1,VODKA
PROD_0091,IMPERIAL 750 ML,5,0,580,800,800,1,WHISKEY
PROD_0092,CLUB MAN 750ML,7,0,500,700,700,1,GIN
PROD_0093,HUNTERS CHOICE 750ML,5,0,665,800,800,1,WHISKEY
PROD_0094,ROBBERTSON RED 750ML,2,0,680,950,950,1,VODKA
PROD_0095,BLACKBIRD RED 750ML,7,0,650,900,900,1,GIN
PROD_0096,BLACKBIRD WHITE 750ML,7,0,650,850,850,1,GIN
PROD_0097,FOUR COUSINS RED SWEET 750ML,9,0,620,850,850,1,WINES
PROD_0098,FOUR COUSINS WHITE SWEET 750ML,9,0,620,850,850,1,WINES
PROD_0099,4TH STREET SWEET RED 750ML,9,0,620,850,850,1,WINES
PROD_0100,4TH STREET SWEET WHITE 750ML,9,0,620,850,850,1,WINES
PROD_0101,CELLAR CASK SWEET RED 750ML,9,0,630,900,900,1,WINES
PROD_0102,CELLAR CASK SWEET WHITE 750ML,9,0,630,900,900,1,WINES
PROD_0103,SOUTHERN COMFORT 700ML,5,0,1450,1800,1800,1,WHISKEY
PROD_0104,VICEROY 750ML,5,0,1020,1200,1200,1,WHISKEY
PROD_0105,MAC MOHAN 750ML,5,0,650,850,850,1,WHISKEY
PROD_0106,RICHOT 750ML,6,0,1000,1200,1200,1,BRANDY
PROD_0107,CAPTAIN MORGAN 750ML,5,0,720,850,850,1,WHISKEY
PROD_0108,BLACK AND WHITE 750ML,5,0,880,1100,1100,1,WHISKEY
PROD_0109,FLIRT VODKA 1LT,2,0,850,1100,1100,1,VODKA
PROD_0110,FLIRT VODKA GREEN APPLE 75OML,2,0,790,950,950,1,VODKA
PROD_0111,SMINORFF VODKA 750 ML,2,0,1000,1200,1200,1,VODKA
PROD_0112,KENYA CANE PINEAPPLE 750ML,2,0,570,700,700,1,VODKA
PROD_0113,KENYA CANE SMOOTH 750ML,2,0,570,700,700,1,VODKA
PROD_0114,KENYA CANE CITRUS 750ML,2,0,570,700,700,1,VODKA
PROD_0115,GORDONS DRY 750ML,7,0,1350,1650,1650,1,GIN
PROD_0116,GORDONS PINIC 750ML,5,0,1350,1700,1700,1,WHISKEY
PROD_0117,GILBEYS 750 ML,7,0,1000,1300,1300,1,GIN
PROD_0118,V&A IMPERIAL CREAM,9,0,600,700,700,1,WINES
PROD_0119,CRAZY COCK 750ML,5,0,660,850,850,1,WHISKEY
PROD_0120,GRANTS 750ML,5,0,1120,1300,1300,1,WHISKEY
PROD_0121,GRANTS 375ML,5,0,650,1200,1200,1,WHISKEY
PROD_0122,VAT 69 750ML,5,0,1150,1400,1400,1,WHISKEY
PROD_0123,RICHOT 375ML,6,0,475,550,550,1,BRANDY
PROD_0124,IMPERIAL BLUE 375ML,8,0,315,400,400,1,CREAM
PROD_0125,IMPERIAL 250ML,8,0,200,250,250,1,CREAM
PROD_0126,SMINORFF VODKA 250 ML,2,5,340,450,450,1,VODKA
PROD_0127,SMINORFF VODKA 375 ML,2,5,475,650,650,1,VODKA
PROD_0128,KENYA KING 250ML,2,5,165,220,220,1,VODKA
PROD_0129,GRANTS 1LT,5,0,1400,1700,1700,1,WHISKEY
PROD_0130,SWEET BERRY 250ML,2,10,130,170,170,1,VODKA
PROD_0131,KIBAO 750ML,2,0,500,600,600,1,VODKA
PROD_0132,FANTA BLACK CURRENT 350ML,8,5,33,40,40,1,SOFT DRINKS
PROD_0133,FANTA BLACK CURRENT 500ML,8,5,53,70,70,1,SOFT DRINKS
PROD_0134,FANTA BLACK CURRENT 1.25L,8,1,106,120,120,1,SOFT DRINKS
PROD_0135,FANTA ORANGE 1.25L,8,1,106,120,120,1,SOFT DRINKS
PROD_0136,FANTA ORANGE 350ML,8,5,33,40,40,1,SOFT DRINKS
PROD_0137,MINUTE MAID MANGO 400ML,8,5,58,70,70,1,SOFT DRINKS
PROD_0138,NOVIDA 350ML,8,5,33,40,40,1,SOFT DRINKS
PROD_0139,COKE 200ML,8,5,15,20,20,1,SOFT DRINKS
PROD_0140,SPRITE 200ML,8,5,15,20,20,1,SOFT DRINKS
PROD_0141,FANTA ORANGE 200ML,8,5,15,20,20,1,SOFT DRINKS
PROD_0142,FANTA BLACKCURRENT 200ML,8,5,15,20,20,1,SOFT DRINKS
PROD_0143,MINUTE MAID 350ML,8,5,33,40,40,1,SOFT DRINKS
